You entered a buffer length of 20
gx: 0.818848, gy: -0.287738, gz: -0.443576, avg x: 0.016463, avg y: -0.171434, avg z: -0.118750, x_min: -0.609673, x_max: 0.818848, y_min: -0.550073, y_max: 0.581543, z_min: -0.665364, z_max: 0.458984
gx: 0.752930, gy: 0.056152, gz: -0.152907, avg x: 0.042098, avg y: -0.143247, avg z: -0.116380, x_min: -0.609673, x_max: 0.818848, y_min: -0.550073, y_max: 0.581543, z_min: -0.665364, z_max: 0.458984
gx: 0.386230, gy: 0.173340, gz: 0.127441, avg x: 0.045296, avg y: -0.107077, avg z: -0.092080, x_min: -0.609673, x_max: 0.818848, y_min: -0.549096, y_max: 0.581543, z_min: -0.665364, z_max: 0.458984
gx: 0.186523, gy: 0.178223, gz: 0.239746, avg x: 0.027571, avg y: -0.070979, avg z: -0.046824, x_min: -0.609673, x_max: 0.818848, y_min: -0.549096, y_max: 0.581543, z_min: -0.632633, z_max: 0.458984
gx: -0.394724, gy: 0.105957, gz: 0.453613, avg x: -0.022170, avg y: -0.048290, avg z: 0.007488, x_min: -0.609673, x_max: 0.818848, y_min: -0.549096, y_max: 0.581543, z_min: -0.580361, z_max: 0.458984
gx: -0.701514, gy: 0.055664, gz: 0.530273, avg x: -0.080586, avg y: -0.037764, avg z: 0.046019, x_min: -0.701514, x_max: 0.818848, y_min: -0.549096, y_max: 0.581543, z_min: -0.580361, z_max: 0.530273
gx: -0.968246, gy: 0.023438, gz: 0.489258, avg x: -0.139423, avg y: -0.030681, avg z: 0.067137, x_min: -0.968246, x_max: 0.818848, y_min: -0.549096, y_max: 0.581543, z_min: -0.580361, z_max: 0.530273
gx: -0.911089, gy: 0.063477, gz: 0.403809, avg x: -0.167659, avg y: -0.019666, avg z: 0.067260, x_min: -0.968246, x_max: 0.818848, y_min: -0.549096, y_max: 0.581543, z_min: -0.580361, z_max: 0.530273
gx: -0.681485, gy: 0.201660, gz: 0.274902, avg x: -0.176599, avg y: -0.002793, avg z: 0.058055, x_min: -0.968246, x_max: 0.818848, y_min: -0.549096, y_max: 0.581543, z_min: -0.580361, z_max: 0.530273
gx: -0.148999, gy: 0.448242, gz: 0.129883, avg x: -0.153565, avg y: 0.017471, avg z: 0.046263, x_min: -0.968246, x_max: 0.818848, y_min: -0.549096, y_max: 0.581543, z_min: -0.580361, z_max: 0.530273
gx: 0.207520, gy: 0.458984, gz: 0.010254, avg x: -0.113438, avg y: 0.027187, avg z: 0.041698, x_min: -0.968246, x_max: 0.818848, y_min: -0.549096, y_max: 0.581543, z_min: -0.580361, z_max: 0.530273
gx: 0.248047, gy: 0.209473, gz: -0.102589, avg x: -0.084793, avg y: 0.008584, avg z: 0.042089, x_min: -0.968246, x_max: 0.818848, y_min: -0.549096, y_max: 0.497070, z_min: -0.580361, z_max: 0.530273
