You entered a buffer length of 20
gx: -0.003908, gy: -0.000489, gz: -0.006351, avg x: -0.001759, avg y: -0.000489, avg z: -0.006204, x_min: -0.016121, x_max: 0.006836, y_min: -0.003908, y_max: 0.004883, z_min: -0.007816, z_max: -0.004885
gx: -0.001466, gy: -0.000977, gz: -0.007328, avg x: -0.002052, avg y: -0.000489, avg z: -0.006278, x_min: -0.016121, x_max: 0.006836, y_min: -0.003908, y_max: 0.004883, z_min: -0.007816, z_max: -0.004885
gx: -0.000977, gy: -0.000489, gz: -0.006839, avg x: -0.002443, avg y: -0.000465, avg z: -0.006229, x_min: -0.016121, x_max: 0.005859, y_min: -0.003908, y_max: 0.004883, z_min: -0.007816, z_max: -0.004885
gx: -0.001954, gy: -0.000977, gz: -0.006351, avg x: -0.002468, avg y: -0.000465, avg z: -0.006229, x_min: -0.016121, x_max: 0.005859, y_min: -0.003908, y_max: 0.004883, z_min: -0.007816, z_max: -0.004885
gx: -0.009282, gy: -0.001466, gz: -0.006351, avg x: -0.002980, avg y: -0.000513, avg z: -0.006278, x_min: -0.016121, x_max: 0.005859, y_min: -0.003908, y_max: 0.004883, z_min: -0.007816, z_max: -0.004885
gx: -0.006351, gy: -0.001954, gz: -0.006351, avg x: -0.003518, avg y: -0.000562, avg z: -0.006204, x_min: -0.016121, x_max: 0.005859, y_min: -0.003908, y_max: 0.004883, z_min: -0.007328, z_max: -0.004885
gx: 0.000000, gy: -0.001466, gz: -0.005862, avg x: -0.003811, avg y: -0.000562, avg z: -0.006155, x_min: -0.016121, x_max: 0.003906, y_min: -0.003908, y_max: 0.004883, z_min: -0.007328, z_max: -0.004885
gx: -0.000977, gy: -0.000489, gz: -0.006351, avg x: -0.003933, avg y: -0.000391, avg z: -0.006155, x_min: -0.016121, x_max: 0.003906, y_min: -0.003420, y_max: 0.004883, z_min: -0.007328, z_max: -0.004885
gx: -0.001466, gy: -0.000489, gz: -0.005862, avg x: -0.003908, avg y: -0.000318, avg z: -0.006204, x_min: -0.016121, x_max: 0.003906, y_min: -0.003420, y_max: 0.004883, z_min: -0.007328, z_max: -0.004885
gx: -0.000489, gy: 0.000000, gz: -0.007328, avg x: -0.003933, avg y: -0.000269, avg z: -0.006326, x_min: -0.016121, x_max: 0.003906, y_min: -0.003420, y_max: 0.004883, z_min: -0.007328, z_max: -0.005374
gx: -0.001466, gy: -0.000977, gz: -0.006351, avg x: -0.003689, avg y: -0.000196, avg z: -0.006351, x_min: -0.016121, x_max: 0.003906, y_min: -0.003420, y_max: 0.004883, z_min: -0.007328, z_max: -0.005374
gx: 0.000977, gy: -0.001466, gz: -0.006351, avg x: -0.003078, avg y: -0.000245, avg z: -0.006302, x_min: -0.016121, x_max: 0.003906, y_min: -0.003420, y_max: 0.004883, z_min: -0.007328, z_max: -0.005374
gx: 0.001953, gy: -0.000977, gz: -0.006351, avg x: -0.002174, avg y: -0.000318, avg z: -0.006326, x_min: -0.011724, x_max: 0.003906, y_min: -0.003420, y_max: 0.004883, z_min: -0.007328, z_max: -0.005374
gx: 0.004395, gy: -0.000977, gz: -0.007328, avg x: -0.001368, avg y: -0.000489, avg z: -0.006400, x_min: -0.009282, x_max: 0.004395, y_min: -0.003420, y_max: 0.004883, z_min: -0.007328, z_max: -0.005374
gx: 0.004395, gy: -0.001954, gz: -0.005862, avg x: -0.001344, avg y: -0.000831, avg z: -0.006424, x_min: -0.009282, x_max: 0.004395, y_min: -0.003420, y_max: 0.004883, z_min: -0.007328, z_max: -0.005374
gx: 0.004395, gy: -0.003420, gz: -0.006839, avg x: -0.001319, avg y: -0.001246, avg z: -0.006449, x_min: -0.009282, x_max: 0.004395, y_min: -0.003420, y_max: 0.000000, z_min: -0.007328, z_max: -0.005374
gx: 0.001953, gy: -0.000977, gz: -0.007328, avg x: -0.000880, avg y: -0.001246, avg z: -0.006497, x_min: -0.009282, x_max: 0.004395, y_min: -0.003420, y_max: 0.000000, z_min: -0.007328, z_max: -0.005374
gx: 0.000488, gy: -0.001954, gz: -0.005374, avg x: -0.000660, avg y: -0.001173, avg z: -0.006424, x_min: -0.009282, x_max: 0.004395, y_min: -0.003420, y_max: 0.000000, z_min: -0.007328, z_max: -0.005374
gx: 0.000000, gy: -0.001466, gz: -0.006839, avg x: -0.000636, avg y: -0.001173, avg z: -0.006497, x_min: -0.009282, x_max: 0.004395, y_min: -0.003420, y_max: 0.000000, z_min: -0.007328, z_max: -0.005374
gx: -0.001466, gy: -0.000489, gz: -0.007816, avg x: -0.000562, avg y: -0.001173, avg z: -0.006571, x_min: -0.009282, x_max: 0.004395, y_min: -0.003420, y_max: 0.000000, z_min: -0.007816, z_max: -0.005374
gx: -0.003908, gy: -0.000977, gz: -0.007328, avg x: -0.000562, avg y: -0.001197, avg z: -0.006620, x_min: -0.009282, x_max: 0.004395, y_min: -0.003420, y_max: 0.000000, z_min: -0.007816, z_max: -0.005374
gx: -0.005862, gy: -0.000977, gz: -0.005862, avg x: -0.000782, avg y: -0.001197, avg z: -0.006546, x_min: -0.009282, x_max: 0.004395, y_min: -0.003420, y_max: 0.000000, z_min: -0.007816, z_max: -0.005374
gx: -0.003420, gy: -0.001466, gz: -0.005374, avg x: -0.000904, avg y: -0.001246, avg z: -0.006473, x_min: -0.009282, x_max: 0.004395, y_min: -0.003420, y_max: 0.000000, z_min: -0.007816, z_max: -0.005374
