You entered a buffer length of 20
gx: 0.044434, gy: 0.138672, gz: -0.029311, avg x: 0.029172, avg y: 0.084497, avg z: -0.071983, x_min: -0.036639, x_max: 0.091797, y_min: 0.016113, y_max: 0.153320, z_min: -0.127992, z_max: -0.020518
gx: 0.018555, gy: 0.101562, gz: 0.008789, avg x: 0.028123, avg y: 0.088770, avg z: -0.066927, x_min: -0.036639, x_max: 0.091797, y_min: 0.027832, y_max: 0.153320, z_min: -0.127992, z_max: 0.008789
gx: 0.005859, gy: 0.092773, gz: 0.016602, avg x: 0.026511, avg y: 0.092017, avg z: -0.061408, x_min: -0.036639, x_max: 0.091797, y_min: 0.036621, y_max: 0.153320, z_min: -0.127992, z_max: 0.016602
gx: -0.025403, gy: 0.078613, gz: 0.027344, avg x: 0.022971, avg y: 0.093530, avg z: -0.054007, x_min: -0.036639, x_max: 0.091797, y_min: 0.036621, y_max: 0.153320, z_min: -0.127992, z_max: 0.027344
gx: -0.023937, gy: 0.071777, gz: 0.027832, avg x: 0.018209, avg y: 0.093848, avg z: -0.046216, x_min: -0.036639, x_max: 0.091797, y_min: 0.036621, y_max: 0.153320, z_min: -0.103078, z_max: 0.027832
gx: -0.058134, gy: 0.052246, gz: 0.044922, avg x: 0.010713, avg y: 0.092895, avg z: -0.038962, x_min: -0.058134, x_max: 0.081055, y_min: 0.036621, y_max: 0.153320, z_min: -0.103078, z_max: 0.044922
gx: -0.068393, gy: 0.038086, gz: 0.037598, avg x: 0.003240, avg y: 0.091870, avg z: -0.032539, x_min: -0.068393, x_max: 0.053223, y_min: 0.036621, y_max: 0.153320, z_min: -0.103078, z_max: 0.044922
gx: -0.070347, gy: 0.023926, gz: 0.035645, avg x: -0.002645, avg y: 0.091211, avg z: -0.026849, x_min: -0.070347, x_max: 0.053223, y_min: 0.023926, y_max: 0.153320, z_min: -0.103078, z_max: 0.044922
gx: -0.055691, gy: 0.021484, gz: 0.027832, avg x: -0.006065, avg y: 0.090454, avg z: -0.021256, x_min: -0.070347, x_max: 0.053223, y_min: 0.021484, y_max: 0.153320, z_min: -0.103078, z_max: 0.044922
gx: 0.006836, gy: 0.065430, gz: -0.010747, avg x: -0.005332, avg y: 0.090796, avg z: -0.017128, x_min: -0.070347, x_max: 0.053223, y_min: 0.021484, y_max: 0.153320, z_min: -0.103078, z_max: 0.044922
gx: 0.052734, gy: 0.105957, gz: -0.041524, avg x: -0.002060, avg y: 0.092065, avg z: -0.014050, x_min: -0.070347, x_max: 0.053223, y_min: 0.021484, y_max: 0.153320, z_min: -0.067416, z_max: 0.044922
gx: 0.072266, gy: 0.123047, gz: -0.051783, avg x: 0.000577, avg y: 0.092700, avg z: -0.013269, x_min: -0.070347, x_max: 0.072266, y_min: 0.021484, y_max: 0.153320, z_min: -0.065462, z_max: 0.044922
gx: 0.081543, gy: 0.119141, gz: -0.071324, avg x: 0.002872, avg y: 0.092480, avg z: -0.013562, x_min: -0.070347, x_max: 0.081543, y_min: 0.021484, y_max: 0.153320, z_min: -0.071324, z_max: 0.044922
gx: 0.081055, gy: 0.108887, gz: -0.091353, avg x: 0.004312, avg y: 0.091626, avg z: -0.015223, x_min: -0.070347, x_max: 0.081543, y_min: 0.021484, y_max: 0.153320, z_min: -0.091353, z_max: 0.044922
